Complexity metrics,Wed, 25 Oct 2017 14:30:43 SAST
Method,ev(G),iv(G),v(G)
"za.co.wernerm.squekyclean.SquekycleanApplication.main(String[])",1,1,1
"za.co.wernerm.squekyclean.api.PostController.createPost(CreatePostDTO)",1,1,1
"za.co.wernerm.squekyclean.api.SubscribeController.subscribe(SubscribeDTO)",1,1,1
"za.co.wernerm.squekyclean.api.ThreadController.createThread(CreateThreadDTO)",1,1,1
"za.co.wernerm.squekyclean.api.ThreadController.getThread(long)",1,2,2
"za.co.wernerm.squekyclean.api.ThreadController.getThreads()",1,3,3
"za.co.wernerm.squekyclean.dto.CreatePostDTO.CreatePostDTO()",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.CreatePostDTO(long,String,String)",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.getAuthor()",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.getContent()",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.getThreadId()",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.setAuthor(String)",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.setContent(String)",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.setThreadId(long)",1,1,1
"za.co.wernerm.squekyclean.dto.CreateThreadDTO.CreateThreadDTO()",1,1,1
"za.co.wernerm.squekyclean.dto.CreateThreadDTO.CreateThreadDTO(String)",1,1,1
"za.co.wernerm.squekyclean.dto.CreateThreadDTO.getThreadName()",1,1,1
"za.co.wernerm.squekyclean.dto.CreateThreadDTO.setThreadName(String)",1,1,1
"za.co.wernerm.squekyclean.dto.PostDTO.PostDTO()",1,1,1
"za.co.wernerm.squekyclean.dto.PostDTO.PostDTO(long,String,String,Date)",1,1,1
"za.co.wernerm.squekyclean.dto.PostDTO.getAuthor()",1,1,1
"za.co.wernerm.squekyclean.dto.PostDTO.getContent()",1,1,1
"za.co.wernerm.squekyclean.dto.PostDTO.getDatePosted()",1,1,1
"za.co.wernerm.squekyclean.dto.PostDTO.getId()",1,1,1
"za.co.wernerm.squekyclean.dto.PostDTO.setAuthor(String)",1,1,1
"za.co.wernerm.squekyclean.dto.PostDTO.setContent(String)",1,1,1
"za.co.wernerm.squekyclean.dto.PostDTO.setDatePosted(Date)",1,1,1
